,Currency,Date,Open,High,Low,Close,Volume,Market.Cap,date
79,decred,11-Feb-17,2.58,2.71,2.38,2.5,"53,483","9,781,950",11-Feb
81,deepbrain-chain,11-Feb-18,0.091762,0.091923,0.077514,0.083306,"1,819,130","82,585,500",11-Feb
82,dent,11-Feb-18,0.02431,0.024456,0.021135,0.022928,"2,836,270","258,044,000",11-Feb
83,dentacoin,11-Feb-18,0.001149,0.001149,0.000981,0.001048,"397,044","373,764,000",11-Feb
84,dew,11-Feb-18,1.19,1.19,1.08,1.12,"219,665","122,776,000",11-Feb
85,digibyte,11-Feb-18,0.036335,0.036335,0.032025,0.033386,"3,333,350","356,969,000",11-Feb
86,digibyte,11-Feb-17,0.000267,0.000282,0.000265,0.000279,"6,534","2,135,360",11-Feb
87,digibyte,11-Feb-16,0.000172,0.000186,0.000167,0.000171,"32,001","1,011,760",11-Feb
88,digibyte,11-Feb-15,0.000178,0.000182,0.000173,0.000178,"6,100","618,988",11-Feb
89,digibyte,11-Feb-14,0.000814,0.000829,0.000604,0.000738,"9,887","389,480",11-Feb
90,digitalnote,11-Feb-18,0.020756,0.021762,0.019363,0.019835,"7,357,260","143,121,000",11-Feb
91,digitalnote,11-Feb-17,0.000105,0.000109,0.0001,0.000103,"8,556","718,599",11-Feb
92,digitalnote,11-Feb-16,0.000085,0.0001,0.000079,0.000089,"6,552","579,878",11-Feb
93,digitalnote,11-Feb-15,0.000083,0.000088,0.000079,0.000087,"6,693","564,998",11-Feb
94,digixdao,11-Feb-18,246.57,251.01,218.7,225.84,"5,787,610","493,138,000",11-Feb
95,digixdao,11-Feb-17,9.05,9.18,8.57,9.15,"32,182","18,108,200",11-Feb
96,dogecoin,11-Feb-18,0.004968,0.005183,0.004606,0.004956,"11,309,800","562,156,000",11-Feb
97,dogecoin,11-Feb-17,0.000208,0.000215,0.000203,0.00021,"94,779","22,505,900",11-Feb
98,dogecoin,11-Feb-16,0.000297,0.000303,0.00028,0.00029,"343,798","30,585,900",11-Feb
99,dogecoin,11-Feb-15,0.00014,0.000142,0.000138,0.000138,"67,361","13,743,300",11-Feb
100,dogecoin,11-Feb-14,0.001414,0.001831,0.001385,0.001812,"9,117,540","67,385,100",11-Feb
101,dragonchain,11-Feb-18,1.45,1.5,1.25,1.35,"2,401,000","345,241,000",11-Feb
102,dynamic-trading-rights,11-Feb-18,0.104524,0.112262,0.095629,0.097544,"54,642","104,235,000",11-Feb
103,e-coin,11-Feb-18,44.32,44.32,15.77,20.79,"109,832","220,755,000",11-Feb
104,edgeless,11-Feb-18,0.868835,0.868835,0.76387,0.787054,"729,799","71,284,700",11-Feb
105,eidoo,11-Feb-18,1.99,1.99,1.8,1.88,"1,131,220","58,197,900",11-Feb
106,einsteinium,11-Feb-18,0.396629,0.44295,0.376499,0.397236,"52,891,200","85,851,300",11-Feb
107,einsteinium,11-Feb-17,0.0014,0.001443,0.001328,0.001366,"1,980","290,380",11-Feb
108,einsteinium,11-Feb-16,0.0001,0.000106,0.0001,0.000106,4,"17,614",11-Feb
109,einsteinium,11-Feb-15,0.000222,0.000259,0.000221,0.000223,254,"36,822",11-Feb
110,electroneum,11-Feb-18,0.068566,0.068566,0.059988,0.063544,"1,776,260","419,422,000",11-Feb
111,emercoin,11-Feb-18,3.83,3.95,3.39,3.81,"877,228","157,934,000",11-Feb
112,emercoin,11-Feb-17,0.189904,0.197451,0.18671,0.19178,"22,000","7,496,810",11-Feb
113,emercoin,11-Feb-16,0.19969,0.209859,0.187706,0.202798,"21,053","7,376,670",11-Feb
114,emercoin,11-Feb-15,0.00785,0.007978,0.007785,0.007818,129,"269,293",11-Feb
